transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,channel
TXN_000001,CUST_0537,PROD_EXH_029,2024-01-07,1,39.5,39.5,Online
TXN_000002,CUST_0262,PROD_EXH_010,2024-11-06,1,44.12,44.12,In-store
TXN_000003,CUST_0301,PROD_LIM_023,2024-06-16,1,329.0,329.0,In-store
TXN_000004,CUST_0235,PROD_MER_020,2024-10-30,1,25.66,25.66,In-store
TXN_000005,CUST_0341,PROD_EXH_038,2024-03-19,1,41.47,41.47,Online
TXN_000006,CUST_0068,PROD_LIM_043,2024-10-20,1,792.22,792.22,Online
TXN_000007,CUST_0672,PROD_EXH_048,2024-07-28,1,39.01,39.01,Online
TXN_000008,CUST_0688,PROD_EXH_020,2024-08-21,1,29.09,29.09,In-store
TXN_000009,CUST_0002,PROD_EXH_028,2024-05-05,1,42.95,42.95,In-store
TXN_000010,CUST_0396,PROD_ART_016,2024-07-06,1,78.72,78.72,In-store
TXN_000011,CUST_0491,PROD_EXH_007,2024-10-27,1,22.12,22.12,In-store
TXN_000012,CUST_0339,PROD_EXH_041,2024-06-21,2,39.71,79.42,Online
TXN_000013,CUST_0408,PROD_ART_002,2024-04-17,1,71.04,71.04,In-store
TXN_000014,CUST_0277,PROD_ART_043,2024-09-28,1,28.5,28.5,In-store
TXN_000015,CUST_0799,PROD_ART_015,2024-09-14,1,32.09,32.09,Online
TXN_000016,CUST_0323,PROD_MER_031,2024-03-18,2,31.75,63.5,Online
TXN_000017,CUST_0175,PROD_EXH_037,2024-09-25,1,27.65,27.65,In-store
TXN_000018,CUST_0264,PROD_ART_018,2024-10-23,1,48.18,48.18,In-store
TXN_000019,CUST_0696,PROD_ART_012,2024-02-22,4,61.89,247.56,Online
TXN_000020,CUST_0325,PROD_ART_046,2024-04-04,1,75.03,75.03,In-store
TXN_000021,CUST_0309,PROD_EXH_005,2024-04-05,1,33.94,33.94,In-store
TXN_000022,CUST_0502,PROD_ART_026,2024-12-29,1,73.0,73.0,In-store
TXN_000023,CUST_0631,PROD_EXH_031,2024-10-22,1,30.95,30.95,In-store
TXN_000024,CUST_0500,PROD_MER_020,2024-03-26,1,25.66,25.66,Online
TXN_000025,CUST_0599,PROD_EXH_017,2024-05-08,1,42.22,42.22,Online
TXN_000026,CUST_0721,PROD_EXH_020,2024-09-12,1,29.09,29.09,Online
TXN_000027,CUST_0750,PROD_EXH_032,2024-02-23,1,30.22,30.22,Online
TXN_000028,CUST_0697,PROD_EXH_033,2024-03-18,2,15.89,31.78,In-store
TXN_000029,CUST_0116,PROD_MER_048,2024-09-28,1,11.49,11.49,In-store
TXN_000030,CUST_0650,PROD_ART_036,2024-10-28,2,61.73,123.46,In-store
TXN_000031,CUST_0415,PROD_ART_020,2024-06-25,1,32.01,32.01,In-store
TXN_000032,CUST_0034,PROD_MER_021,2024-12-16,1,15.18,15.18,Online
TXN_000033,CUST_0459,PROD_MER_026,2024-09-20,1,10.99,10.99,In-store
TXN_000034,CUST_0262,PROD_EXH_050,2024-05-03,1,32.89,32.89,In-store
TXN_000035,CUST_0442,PROD_MER_025,2024-11-24,2,28.27,56.54,Online
TXN_000036,CUST_0112,PROD_ART_043,2024-04-23,1,28.5,28.5,Online
TXN_000037,CUST_0660,PROD_MER_033,2024-07-07,1,11.44,11.44,Online
TXN_000038,CUST_0793,PROD_MER_032,2024-07-29,1,28.65,28.65,In-store
TXN_000039,CUST_0043,PROD_EXH_023,2024-04-14,1,15.17,15.17,In-store
TXN_000040,CUST_0318,PROD_MER_037,2024-10-09,1,22.82,22.82,In-store
TXN_000041,CUST_0407,PROD_EXH_003,2024-03-29,1,41.78,41.78,In-store
TXN_000042,CUST_0288,PROD_ART_011,2024-09-23,1,74.44,74.44,In-store
TXN_000043,CUST_0376,PROD_EXH_034,2024-04-04,1,36.07,36.07,In-store
TXN_000044,CUST_0162,PROD_EXH_024,2024-01-20,2,16.48,32.96,In-store
